id,name,kategorie,autor,version,aktualisiert,eingestellt
19002783,Heatmap Timer v1.0,Alarmierung,Schmidt Andre (eXec),V 1.0,2026-06-06 01:31:41,2026-06-06 00:44:16
19002782,Sektorstrahlung aus Globalstrahlung v1.0,Wetter,Schmidt Andre (eXec),V 1.0,2026-06-05 23:31:05,2026-06-05 12:58:52
19001106,Eierkonto,Weitere Bausteine,Schmidt Andre (eXec),V 1.2,2026-06-04 07:54:40,2017-11-24 12:40:38
19002780,REOLINK PTZ Manager,Video,Schmidt Andre (eXec),V 1.1,2026-06-02 12:23:41,2026-06-02 06:30:01
19001108,Reolink PTZ Zonenmanager,Video,Schmidt Andre (eXec),V 1.1,2026-06-02 10:00:53,2018-01-29 07:09:52
19002625,Samsung NASA-Schnittstellen-Anbindung,Kommunikation,Nima Ghassemi (sipiyou),V 1.05,2026-06-01 23:00:15,2026-03-29 09:29:18
19002629,Hue V2-API Connector,DALI und Lichtsteuerung,Nima Ghassemi (sipiyou),V 1.01,2026-06-01 22:50:24,2023-09-09 23:18:18
19002760,Govee LAN :: Connector,DALI und Lichtsteuerung,Nima Ghassemi (sipiyou),V 1.03,2026-06-01 22:49:29,2026-04-03 21:51:13
19001107,Impulskaskade variabel,Zeit-Funktionen,Schmidt Andre (eXec),V 1.0,2026-06-01 12:52:21,2018-01-29 07:00:15
19001507,Ein/Aus-Verzögerung Advanced,Verzögerung,Schmidt Andre (eXec),V 1.4,2026-05-31 21:32:00,2026-05-21 15:32:54
19001509,Shinobi CCTV Motion Trigger,Alarmierung,Schmidt Andre (eXec),V 1.0,2026-05-31 16:42:13,2018-03-09 09:49:10
19001501,Hysterese PLUS,Vergleicher,Schmidt Andre (eXec),V 1.2,2026-05-31 15:21:36,2018-07-03 08:04:31
19001101,Tag/Nachtschaltung mit Abschaltung v1.3,DALI und Lichtsteuerung,Schmidt Andre (eXec),V 1.3,2026-05-31 14:48:05,2017-08-08 22:48:44
19001104,Watchdog PLUS,Zeit-Funktionen,Schmidt Andre (eXec),V 1.7,2026-05-28 16:02:20,2017-10-10 12:38:00
19001103,Wertumschalter,Vergleicher,Schmidt Andre (eXec),V 1.2,2026-05-27 15:21:44,2017-09-22 13:13:40
19001102,Tür-/Fensterstatus mit Kippüberwachung,Weitere Bausteine,Schmidt Andre (eXec),V 1.0,2026-05-26 10:45:36,2017-09-05 10:51:50
19002714,Forecast Wiggal,Wetter,Thorsten Gehrig (ThorstenGehrig),V 0.1,2026-05-25 20:06:21,2026-05-24 18:04:56
19001506,Strings alternierend verbinden,Listeneingang + Listenausgang,Schmidt Andre (eXec),V 1.0,2026-05-22 11:06:33,2026-05-21 15:46:36
19002619,Shelly plus Smoke Cloud (0.2),Alarmierung,Winfried Winkler (Winni),V 0.2,2026-05-08 17:04:01,2026-05-08 17:04:01
19002771,EcoFlow IoT Cloud,xxAPI,Degner Michael (derwombat),V 1.0,2026-04-28 15:46:13,2026-04-28 15:38:49
19002770,E-Meter Shelly Pro 3 EM,Lastmanagement,Degner Michael (derwombat),V 1.0,2026-04-28 15:39:56,2026-04-15 18:57:19
19001927,SNMP Abfrage,Datenaustausch,Nima Ghassemi (sipiyou),V 0.3,2026-04-19 21:33:20,2019-10-26 22:57:26
19002761,Lepro Cloud :: Connector,DALI und Lichtsteuerung,Nima Ghassemi (sipiyou),V 1.01,2026-04-12 00:13:36,2026-04-07 20:16:23
19002614,BBQKees EMS für Buderus WLW186i (0.3),Heizung-Lueftung-Klima,Winfried Winkler (Winni),V 0.3,2026-04-11 22:18:29,2026-04-11 22:18:20
19002616,Tado API (0.2),HS-Webabfragen,Winfried Winkler (Winni),V 0.2,2026-04-11 22:03:57,2026-04-11 22:03:57
19002615,NUKI WEB API (0.1),HS-Webabfragen,Winfried Winkler (Winni),V,2026-04-11 22:00:26,2026-04-11 22:00:26
19002617,Stromkosten täglich (0.1),Heizung-Lueftung-Klima,Winfried Winkler (Winni),V 0.1,2026-04-11 21:58:10,2026-04-11 21:58:10
19002618,Octopus Energy (0.1),HS-Webabfragen,Winfried Winkler (Winni),V 0.1,2026-04-11 21:49:42,2026-04-11 21:49:42
19001928,Abfall Wirtschaft ics Poll,Datenaustausch,Nima Ghassemi (sipiyou),V 1.4,2026-04-10 23:36:49,2019-12-30 22:43:01
19001920,Zeitschalter mit Abhängigkeiten,Verzögerung,Nima Ghassemi (sipiyou),V 1.6,2026-04-09 10:41:09,2019-06-10 12:13:09
19000793,Fronius Gen24 Solar API (ID 19000793) ],Datenaustausch,Reinhard Socha (timberland),V 1.7,2026-01-25 22:35:42,2026-01-25 18:40:56
19000792,EPEX Spot Preis (aWATTar + smartENERGY),Datenaustausch,Reinhard Socha (timberland),V 1.4,2026-01-24 22:05:48,2026-01-24 19:35:14
19000504,Netatmo Wetterstation,Wetter,Reinhard Socha (timberland),V 1.0,2026-01-19 20:39:02,2026-01-19 20:39:02
19000502,Netatmo Healthy Home Coach,Wetter,Reinhard Socha (timberland),V 1.1,2026-01-18 21:27:47,2026-01-18 21:27:47
19000501,OAuth2 TokenManager (Netatmo) AuthCode+Refresh,Wetter,Reinhard Socha (timberland),V 1.3,2026-01-18 21:25:38,2017-02-18 10:12:21
19000027,SONOS Controller,Audio,Reinhard Socha (timberland),V 8.5,2026-01-14 22:49:27,2016-11-30 20:30:19
19002670,ECOWITT GW1200 + WS90,Wetter,Reinhard Socha (timberland),V 1.2,2026-01-11 12:08:32,2026-01-11 12:08:32
19002628,solcast.com,Kommunikation,Nima Ghassemi (sipiyou),V 1.07,2025-09-03 04:53:17,2022-11-09 22:45:19
19002703,Victron SmartSolar MPPT,Kommunikation,Marco Wörz (leppenraub),V 0.9,2025-08-25 13:46:55,2025-05-30 13:35:00
19002702,Shelly,Kommunikation,Marco Wörz (leppenraub),V 0.9,2025-08-25 13:28:04,2025-05-30 13:34:36
19002626,Innenlichtsteuerung nach Aussensensor,DALI und Lichtsteuerung,Nima Ghassemi (sipiyou),V 1.1,2025-08-15 16:32:12,2025-07-31 18:27:53
19002627,Dropbox Backup,Datenaustausch,Nima Ghassemi (sipiyou),V 1.3,2025-08-15 14:43:02,2025-07-09 05:00:42
19001094,Konstantlichtregelung,Regler,Johannes Häfner (johannes2912),V 1.12,2025-06-30 10:07:46,2025-06-30 10:06:18
19001929,Xiaomi Roboroc Integration,Datenaustausch,Nima Ghassemi (sipiyou),V 1.22,2025-06-27 22:39:06,2020-05-17 13:03:42
19002173,Ergänzung zu LBS19002172 RainMachine Program,Weitere Bausteine,Otterstätter (Panzaeron),V 0.2,2025-05-15 13:07:20,2020-08-02 23:46:02
19002172,RainMachine,Weitere Bausteine,Otterstätter (Panzaeron),V 0.2,2025-05-15 13:07:12,2020-08-02 10:13:03
19001849,Alexa Wecker auswerten,Weitere Bausteine,Otterstätter (Panzaeron),V 0.4.5,2025-05-15 13:06:59,2019-12-30 10:06:19
19001848,Holt Songtexte von Mourits Lyrics,Audio,Otterstätter (Panzaeron),V 0.1,2025-05-15 13:06:49,2019-12-15 11:52:19
19001847,Sendet bis zu 10 Werte nacheinander auf den Ausgang,Verzögerung,Otterstätter (Panzaeron),V 0.1,2025-05-15 13:06:44,2019-11-17 20:25:59
19001844,WallPanel control,Netzwerk,Otterstätter (Panzaeron),V 0.3,2025-05-15 13:06:25,2019-11-12 22:22:36
19001842,Nuki Türschloss,Türkommunikationusatzbausteine,Otterstätter (Panzaeron),V 0.6,2025-05-15 13:06:05,2019-07-30 22:19:33
19001841,Umrechnung 0-255 auf 0-100 mit SBC,Math. Funktionen,Otterstätter (Panzaeron),V 0.1,2025-05-15 13:05:49,2019-04-12 15:13:17
19001840,Umrechnung 0-100 auf 0-255 mit SBC,Math. Funktionen,Otterstätter (Panzaeron),V 0.1,2025-05-15 13:05:43,2019-04-12 15:12:24
19001679,Wert erhöhen oder verringern,Math. Funktionen,Otterstätter (Panzaeron),V 0.3,2025-05-15 13:05:37,2019-07-25 10:17:57
19001678,Schwellwertschalter mit Totzeit,Weitere Bausteine,Otterstätter (Panzaeron),V 0.1,2025-05-15 13:05:26,2019-05-28 22:46:06
19001677,Ermittelt ob die Fassade in direkter  Sonne ist,Astro,Otterstätter (Panzaeron),V 0.1,2025-05-15 13:05:19,2019-04-12 19:25:02
19001672,Steuerung eines Rollladens in Abhängigkeit verschiedener Bedingungen,Jalousie-Rolladen-Trennwand,Otterstätter (Panzaeron),V 3.1.6,2025-05-15 13:05:09,2019-01-05 15:03:52
19001671,Umrechnung  0-100 <-> 0-255,Math. Funktionen,Otterstätter (Panzaeron),V 0.1,2025-05-15 13:04:58,2018-10-08 22:19:06
19001670,Dimmbereich umrechnen,DALI und Lichtsteuerung,Otterstätter (Panzaeron),V 0.2,2025-05-15 13:04:52,2018-08-21 23:19:59
19001236,Sommer/Winter-Umschaltung nach DIN,Zeit-Funktionen,Otterstätter (Panzaeron),V 0.3.1,2025-05-15 13:04:46,2018-06-26 21:11:33
19000679,Einen Eingangswert zufällig auf dem Ausgang ausgeben,Textfunktionen,Otterstätter (Panzaeron),V 0.3,2025-05-15 13:04:36,2018-08-19 13:32:34
19000675,Wiregate Busmaster PBM01 Status,1 Wire,Otterstätter (Panzaeron),V 0.1,2025-05-15 13:04:30,2018-03-20 20:01:17
19000674,Send by Change mit Wert-Differenz und Zeit,Vergleicher,Otterstätter (Panzaeron),V 0.1,2025-05-15 13:04:23,2018-03-20 00:21:06
19000673,Füllstand einer Zisterne mit Drucksensor (icaplan),1 Wire,Otterstätter (Panzaeron),V 0.2,2025-05-15 13:04:17,2018-03-19 19:50:05
19000671,Rel. Feuchtigkeit in abs. Feuchtigkeit und Taupunkt umrechnen,1 Wire,Otterstätter (Panzaeron),V 0.1,2025-05-15 13:04:11,2018-03-19 17:08:16
19000670,Tage bis zur Müllabfuhr,Weitere Bausteine,Otterstätter (Panzaeron),V 0.2,2025-05-15 13:04:05,2018-02-16 17:54:45
19000668,Konvertiert WW Codes in WU Codes,Wetter,Otterstätter (Panzaeron),V 0.1,2025-05-15 13:03:57,2018-02-02 02:09:56
19000667,Rollladen mit einem Button steuern,Jalousie-Rolladen-Trennwand,Otterstätter (Panzaeron),V 0.2,2025-05-15 13:03:50,2018-01-20 03:14:38
19000666,Cover URI und Infos von Last.fm holen,Audio,Otterstätter (Panzaeron),V 0.5,2025-05-15 13:03:44,2018-01-13 23:58:23
19000665,Resol VBus (Regler Resol DeltaSol SLL und Stiebel Eltron SOM 7 E plus),Heizung-Lueftung-Klima,Otterstätter (Panzaeron),V 0.3,2025-05-15 13:03:37,2017-10-11 14:16:17
19000664,Mehrfachbetätigung (Doppelklick),Ohne,Otterstätter (Panzaeron),V 0.2.1,2025-05-15 13:03:29,2017-07-22 12:03:23
19000409,Denon/Marantz Lautstärke-Steuerung,Audio,Otterstätter (Panzaeron),V 0.2,2025-05-15 13:03:17,2017-04-01 13:24:39
19000408,Wake on LAN (WOL) Schalter,Netzwerk,Otterstätter (Panzaeron),V 0.1,2025-05-15 13:03:11,2017-02-19 00:16:57
19000407,Audiosteuerung: Defaultwerte setzen in Abhängigkeit eines Zeitraums,Audio,Otterstätter (Panzaeron),V 0.2,2025-05-15 13:03:04,2016-10-27 07:46:21
19000404,Gibt den aktuellen Wochentag und das Datum aus,Textfunktionen,Otterstätter (Panzaeron),V 0.3,2025-05-15 13:02:36,2016-10-05 00:00:00
19000401,HTML-Datei mit einem Link erzeugen,Weitere Bausteine,Otterstätter (Panzaeron),V 0.1,2025-05-15 13:02:20,2016-09-23 00:00:00
19000400,Klingeln über SIP auslösen (z. B. für eine Haustürklingel),TürkommunikationSenden,Otterstätter (Panzaeron),V 0.4,2025-05-15 13:02:14,2016-10-02 15:49:13
19000399,Zeitpunkt in Text umwandeln,Zeit-Funktionen,Otterstätter (Panzaeron),V 0.3,2025-05-15 13:02:04,2016-09-12 19:06:08
19000398,Daten in eine Influx-Datenbank schreiben,Ohne,Otterstätter (Panzaeron),V 0.2,2025-05-15 13:01:57,2016-09-23 23:25:29
19000397,Aktionen im Kiosk Browser ausführen,Ohne,Otterstätter (Panzaeron),V 0.1,2025-05-15 13:01:49,2016-08-31 00:00:00
19000395,Wandelt eine Zeitdifferenz in Sekunden in Text um (2 Tage 10 Stunden...),Zeit-Funktionen,Otterstätter (Panzaeron),V 0.2,2025-05-15 13:01:34,2016-11-12 18:09:08
19000394,Konfigurierbare Sperre,Filter,Otterstätter (Panzaeron),V 0.2.1,2025-05-15 13:01:23,2016-07-12 11:10:29
19000393,Mittelwert von acht Eingängen berechnen,Math. Funktionen,Otterstätter (Panzaeron),V 0.2,2025-05-15 13:01:16,2016-05-16 00:00:00
19000392,Mittelwert an vier Eingängen berechnen,Math. Funktionen,Otterstätter (Panzaeron),V 0.1,2025-05-15 13:01:09,2016-05-16 00:00:00
19000391,Anzahl von Werten an acht Eingängen ausgeben,Math. Funktionen,Otterstätter (Panzaeron),V 0.2,2025-05-15 13:01:02,2016-11-05 20:07:39
19000390,Anzahl von Werten an vier Eingängen ausgeben,Math. Funktionen,Otterstätter (Panzaeron),V 0.1,2025-05-15 13:00:54,2016-05-16 00:00:00
19000128,Von acht Eingangswerten den kleinsten Wert ausgeben,Math. Funktionen,Otterstätter (Panzaeron),V 0.1,2025-05-15 13:00:25,2016-05-16 00:00:00
19000127,Von vier Eingangswerten den kleinsten Wert ausgeben,Math. Funktionen,Otterstätter (Panzaeron),V 0.1,2025-05-15 13:00:18,2016-05-16 00:00:00
19000126,Von acht Eingangswerten den größten Wert ausgeben,Math. Funktionen,Otterstätter (Panzaeron),V 0.1,2025-05-15 13:00:12,2016-05-16 00:00:00
19000125,Von vier Eingangswerten den größten Wert ausgeben,Math. Funktionen,Otterstätter (Panzaeron),V 0.1,2025-05-15 13:00:05,2016-05-16 00:00:00
19000124,Vorgänger von LBS 19000402 (Multiroom Radiostreams speichern),Audio,Otterstätter (Panzaeron),V 1.2,2025-05-15 12:59:58,2016-10-03 00:00:00
19000122,Nachtschaltung einer Beleuchtung mit Präsenzmeldern,DALI und Lichtsteuerung,Otterstätter (Panzaeron),V 1.0,2025-05-15 12:59:43,2016-05-05 00:00:00
19000121,Steuerung eines Rollladens in Abhängigkeit verschiedener Bedingungen,Jalousie-Rolladen-Trennwand,Otterstätter (Panzaeron),V 2.7,2025-05-15 12:59:32,2016-07-30 09:20:53
19000120,Fenster/Türstatus aus zwei Kontakten (oben und unten) pro Flügel ermitteln,Jalousie-Rolladen-Trennwand,Otterstätter (Panzaeron),V 1.4,2025-05-15 12:59:19,2016-04-25 00:00:00
19002739,Spezial-UND-Gatter E1=0 & E2≠0,Gatter,Hardi (elkomaster91),V 1.0,2025-04-05 09:14:37,2025-04-05 09:14:37
19002477,Wertvergleich mit Mittelwert,Vergleicher,Hardi (elkomaster91),V 0.1,2025-01-27 17:14:55,2025-01-27 16:55:23
19001341,PID-Regler (generisch),Regler,Tobi (JonDonSponky),V 0.7,2025-01-08 19:44:57,2017-12-04 19:08:47
19002712,Google GeminiAPI,Weitere Bausteine,Thorsten Gehrig (ThorstenGehrig),V 0.1,2024-12-18 18:38:32,2024-12-18 17:49:54
19002711,Filter erste 0,Filter,Thorsten Gehrig (ThorstenGehrig),V 1.0,2024-07-22 17:44:41,2024-07-22 17:44:24
19001875,ModBus TCP Master Read Huawei Smartdongle Edition,Modbus,Tobi M. (blaky),V 0.7,2024-07-08 15:11:11,2023-06-27 08:34:16
19002710,OpenAI-API,Weitere Bausteine,Thorsten Gehrig (ThorstenGehrig),V 0.2,2024-05-31 13:45:20,2024-05-29 21:15:35
19002433,ntfy - Push Nachrichten senden,Kommunikation,Matthias Quernheim (maque),V 1.1.2,2024-05-24 05:53:09,2023-11-26 10:50:38
19000828,OneCall API 3.0 für Openweather.org,Wetter,Matthias Quernheim (maque),V 1.2.1,2024-05-06 19:18:46,2019-01-01 20:14:28
19002700,Victron GX,Lastmanagement,Marco Wörz (leppenraub),V 0.91,2024-04-17 07:00:19,2024-04-10 13:44:36
19002701,TelegramSend,Kommunikation,Marco Wörz (leppenraub),V 0.9,2024-04-14 14:22:41,2024-04-14 07:21:14
19002346,Jaguar/Landrover InControl Abfrage,HS-Webabfragen,Winfried Winkler (Winni),V 0.3,2024-04-10 10:37:35,2022-05-05 10:58:35
19000215,easee Wallbox,Kommunikation,Frank Endt (basaltnischl),V 1.1,2024-03-11 19:29:43,2021-04-18 11:10:46
19002692,Strommarktpreise Verarbeiten,Webservice,Götter Thomas (bubi2401),V 1.1,2024-03-10 15:39:53,2024-02-13 17:07:49
19002705,Strompreise Tibber,Webservice,Götter Thomas (bubi2401),V 1.0,2024-03-06 16:37:36,2024-03-06 15:49:28
19002694,Hilfsbaustein für Strommarktpreise,Webservice,Götter Thomas (bubi2401),V 1.0,2024-03-05 15:21:31,2024-03-01 17:00:45
19002693,Strommarktpreise Fraunhofer Institut,Webservice,Götter Thomas (bubi2401),V 1.0,2024-03-05 15:21:23,2024-02-13 17:17:52
19002691,Strommarktpreise über aWATTar,Webservice,Götter Thomas (bubi2401),V 1.1,2024-03-05 15:21:04,2024-01-26 19:17:30
19002690,Sonnenbatterie API v2,Kommunikation,Götter Thomas (bubi2401),V 1.0,2024-01-26 19:21:03,2024-01-25 19:08:18
19002380,InfluxDB 2.0 Writer,Datenaustausch,Jens Meier (McJameson),V 0.3.1,2023-12-21 20:02:51,2021-01-21 20:03:36
19002382,Umwandlung eines WORD in 16 bit,Bit und Byte,Jens Meier (McJameson),V 0.1,2023-12-17 19:13:11,2023-12-13 19:03:41
19000347,SendByTolerance,Filter,Winfried Winkler (Winni),V 0.4,2023-12-15 20:24:46,2016-08-18 20:13:28
19000334,Rolladenposition extern,Jalousie-Rolladen-Trennwand,Winfried Winkler (Winni),V 0.3,2023-12-15 20:17:29,2016-04-24 00:00:00
19000716,Telnet Client - send2TelnetHost,Netzwerk,Matthias Quernheim (maque),V 0.4,2023-11-26 22:09:18,2019-01-01 20:13:25
19000935,Husqvarna Automower Connect API,xxAPI,Stefan Ladisch (MrIcemanLE),V 0.6.3,2023-11-17 07:54:25,2018-06-26 14:34:35
19000936,DWD Vorhersage in Datenarchive,Wetter,Stefan Ladisch (MrIcemanLE),V 0.5,2023-11-03 07:49:30,2018-11-13 11:17:01
19002663,Elektrofahrzeug Überschussladung,Lastmanagement,Wolfgang (wolfib),V 1.0,2023-10-28 12:40:38,2023-10-28 12:28:55
19002660,ModBus TCP Master Write,Modbus,Wolfgang (wolfib),V 0.21,2023-10-28 11:16:37,2023-03-16 21:28:02
19002662,Sungrow Modbus API,Datenaustausch,Wolfgang (wolfib),V 1.0,2023-10-28 11:07:18,2023-10-28 09:01:59
19002661,Waterkotte EcoTouch Web-API Read/Write,Heizung-Lueftung-Klima,Wolfgang (wolfib),V 0.2,2023-10-28 10:59:14,2023-03-22 22:22:45
19002166,Alexa Smarthome Device,Webservice,Philipp (philipp900),V 1.6,2023-09-11 11:31:31,2021-01-12 13:46:51
19002165,Alexa Smarthome Gateway,Webservice,Philipp (philipp900),V 1.7,2023-09-11 11:29:59,2021-01-12 13:46:57
19000189,AWTRIX Light (Ulanzi) by RD,Weitere Bausteine,Deckard Rick (rdeckard),V 1.0,2023-09-09 16:40:43,2023-07-16 10:56:49
19000714,Search and replace,Textfunktionen,Matthias Quernheim (maque),V 0.2,2023-08-26 12:20:24,2016-12-10 00:00:00
19002611,Shelly Flood Cloud,HS-Webabfragen,Winfried Winkler (Winni),V 0.1,2023-08-09 21:03:53,2023-08-09 21:03:53
19002610,Teltonika FOTA WEB Zugriff,HS-Webabfragen,Winfried Winkler (Winni),V 0.1,2023-07-30 10:20:24,2023-07-30 10:20:24
19002408,Kostal Piko,Weitere Bausteine,Marco Wörz (leppenraub),V 1.0,2023-07-28 11:40:11,2023-06-10 13:25:06
19001424,Verdichten eines Archivs,Weitere Bausteine,Winfried Winkler (Winni),V 0.7,2023-07-26 09:28:25,2019-02-08 13:33:56
19000119,Wenn-Dann-Sonst VARIABEL,Vergleicher,Carsten Milzarek (saegefisch),V 0.7,2023-07-25 23:46:24,2018-05-07 23:25:50
19001586,ModBus Read GENERIC,Modbus,Carsten Milzarek (saegefisch),V 0.6,2023-07-17 20:31:27,2021-05-17 21:41:37
19000339,Prüfe auf neue Erinnerungen,Zeit-Funktionen,Winfried Winkler (Winni),V 0.5,2023-07-17 07:42:49,2016-08-18 20:14:47
19002350,Wetterdaten der Schweizerischen Radio- und Fernsehgesellschaft (SRG).,Wetter,Raphaela  (raphaela),V 2.05,2023-07-17 00:28:14,2020-12-21 18:36:12
19001640,Fronius Wechselrichter inkl. Smartmeter,Kommunikation,Thomas Willi (twi127),V 1.52,2023-07-16 15:47:56,2018-06-09 22:52:45
19002348,Teltonika UDP Receiver,Datenaustausch,Winfried Winkler (Winni),V 0.1,2023-07-14 21:38:51,2022-07-09 22:28:33
19002349,Teltonika FMB003 Decoder,Datenaustausch,Winfried Winkler (Winni),V 0.6,2023-07-14 21:37:14,2023-07-14 21:37:14
19000342,Füllen der Erinnerungsdatenbank von Datei,Zeit-Funktionen,Winfried Winkler (Winni),V 0.4,2023-07-14 21:05:35,2016-08-18 20:17:03
19000341,Erinnerungen aus Datenbank für Listelement lesen,Zeit-Funktionen,Winfried Winkler (Winni),V 0.5,2023-07-14 21:04:35,2016-08-18 20:16:15
19000343,einzelne Erinnerung lesen / löschen,Zeit-Funktionen,Winfried Winkler (Winni),V 0.4,2023-07-14 21:02:23,2016-08-18 20:17:43
19002271,Forecast Solar,Wetter,Benjamin Bretz (benji),V 0.41,2023-07-03 11:19:27,2021-03-31 20:11:09
19001876,Formelberechnung nur E8 getriggert,Math. Funktionen,Tobi M. (blaky),V 1.0,2023-07-03 10:32:20,2023-07-03 10:32:20
19002405,Tesla PV-Überschussladen,Weitere Bausteine,Marco Wörz (leppenraub),V 0.8,2023-06-25 17:50:28,2022-09-12 13:00:14
19001921,TVZ 370+,Heizung-Lueftung-Klima,Nima Ghassemi (sipiyou),V 1.2,2023-06-18 13:33:48,2019-06-11 23:04:25
19000707,Beschattungssteuerung (Rollo),Astro,Yves Schumann (starwarsfan),V 0.7,2023-05-29 16:07:19,2017-06-28 21:55:56
19000162,Stiebel Eltron ISG Modbus Steuerung WPL/WPF,Datenaustausch,Benjamin Bretz (benji),V 0.3,2023-05-04 10:56:09,2019-02-23 12:22:45
19000149,Landis Gyr E350 auslesen,Zähler,Yves Schumann (starwarsfan),V 1.4,2023-04-29 00:02:11,2016-11-20 00:00:00
19002486,WeatherKit LBS,Wetter,Hendrik Später (ghemor),V 0.11,2023-04-25 12:24:26,2023-04-25 12:19:59
19002170,Husqvarna Automower Auswertung der Statusmeldung,Wandler,Otterstätter (Panzaeron),V 0.5.1,2023-04-22 23:24:30,2020-04-12 12:54:24
19000516,Fritzbox Anwesenheitsstatus,Weitere Bausteine,Winfried Winkler (Winni),V 0.5,2023-04-10 22:39:04,2017-04-06 08:39:47
19001631,Pirate Weather/DarkSky Tages-/Wochenabfrage inkl. Denro ONE,Wetter,Michael Werski (wintermute),V 0.6,2023-04-10 20:51:32,2018-06-09 01:15:49
19001630,Pirate Weather/DarkSky Aktuell,Wetter,Michael Werski (wintermute),V 0.4,2023-04-10 20:50:06,2018-05-29 17:42:00
19001632,Pirate Weather/DarkSky Wochenvorhersage in Datenarchive,Wetter,Michael Werski (wintermute),V 0.4,2023-04-10 13:48:44,2018-12-30 14:01:16
19001602,Wettervorhersage (4 Tage je 4 Werte) von pirateweather.net,Wetter,Staud Marco (mars),V 0.4,2023-04-09 20:20:40,2019-03-14 19:11:27
19000451,pirateweather.net Datenausgabe,Wetter,Winfried Winkler (Winni),V 0.2,2023-04-06 12:26:31,2016-08-18 00:00:00
19000452,pirateweather.net Listausgabe Aufbereitung,Wetter,Winfried Winkler (Winni),V 0.4,2023-04-06 12:06:52,2016-08-18 22:53:08
19000450,pirateweather.net Datenermittlung,Wetter,Winfried Winkler (Winni),V 0.2,2023-04-06 12:02:57,2016-08-18 00:00:00
19002021,Eingänge zufällig,Weitere Bausteine,Winfried Winkler (Winni),V 0.3,2023-04-04 20:32:03,2019-11-10 22:58:49
19001539,2 Word To Dwor,Bit und Byte,Klobucaric Gernot (murelli146),V 0.1,2023-03-28 19:53:31,2023-03-28 19:53:31
19001046,Ansteuerung von el. Heizstäben mit PV-Energie,Regler,Christian Grosch (ChrisAllgaeu),V 0.7,2023-03-17 19:10:30,2022-01-29 12:56:00
19000272,Auswahl aus 10 Eingangswerten,Auswahlschalter,Winfried Winkler (Winni),V 0.4,2023-03-14 22:16:48,2016-10-24 18:33:49
19000145,Beschattungssteuerung-NG,Astro,Yves Schumann (starwarsfan),V 3.14,2023-03-05 21:35:17,2016-10-04 00:00:00
19002249,solarprognose.de,Kommunikation,Nima Ghassemi (sipiyou),V 1.3,2023-03-04 15:51:51,2022-08-10 19:51:51
19000718,Lesen eines Russound MCA C3/C5 und MCA-88,Home Entertainment,Matthias Quernheim (maque),V 1.6.3,2023-02-26 20:35:43,2019-01-01 20:13:37
